condition,List,participant,phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space
control,C,P35,elmo,15,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,16,C4,bus1,bus2,torch,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,1,D13,shoe2,spoon1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,2,D4,bus2,bus1,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,3,D10,flower2,cup1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,4,D11,cup2,clock1,cake,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,5,D6,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,6,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,7,D2,bird2,bird1,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,8,D16,tree2,fish1,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,9,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,10,D14,spoon2,toothbrush1,comb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,11,D8,dog2,dog1,rainbow,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,12,D9,fish2,flower1,playdoh,1,1,2,0,0,1,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,13,D3,book2,book1,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,14,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,15,D15,toothbrush2,tree1,door,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,16,D12,clock2,shoe1,dress,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P05,elmo,1,A6,spoon1,spoon2,comb,0,0,1,0,0,0,0,1,0,0,0,0,0,0
control,A,P05,elmo,2,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P05,elmo,3,A16,dog1,bike2,rainbow,0,0,0,0,1,1,0,0,0,0,0,0,0,0
control,A,P05,elmo,4,A10,book1,bus2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P05,elmo,5,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P05,elmo,6,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P05,elmo,7,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P05,elmo,8,A14,cat1,chair2,hairbrush,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,A,P05,elmo,9,A1,fish1,fish2,playdoh,0,0,0,0,0,0,1,0,0,0,0,0,0,0
control,A,P05,elmo,10,A13,car1,cat2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P05,elmo,11,A4,cup1,cup2,dress,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P05,elmo,12,A2,flower1,tree2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P05,elmo,13,A15,chair1,dog2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P05,elmo,14,A5,shoe1,shoe2,paintbrush,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,A,P05,elmo,15,A7,toothbrush1,toothbrush2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P36,elmo,1,D11,cup2,clock1,cake,None,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P36,elmo,2,D3,book2,book1,apple,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,D,P36,elmo,3,D7,chair2,chair1,kangaroo,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P36,elmo,4,D4,bus2,bus1,torch,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P36,elmo,5,D1,bike2,bike1,candle,0,1,0,0,0,0,0,0,0,0,0,0,0,0
